"FirstName","LastName","Position","Team"
"Joe","Flacco","QB","IND"
"Matt","Ryan","QB",
"Chad","Henne","QB",
"Aaron","Rodgers","QB","NYJ"
"Tom","Brady","QB",
"Josh","Johnson","QB","BAL"
"Brian","Hoyer","QB",
"Matthew","Stafford","QB","LAR"
"Chase","Daniel","QB",
"Colt","McCoy","QB",
"Tyrod","Taylor","QB","NYJ"
"Andy","Dalton","QB","CAR"
"Blaine","Gabbert","QB",
"Nick","Foles","QB",
"Ryan","Tannehill","QB",
"Kirk","Cousins","QB","ATL"
"Russell","Wilson","QB","PIT"
"Matt","Barkley","QB",
"Geno","Smith","QB","SEA"
"Ryan","Griffin","QB",
"Mike","Glennon","QB",
"Case","Keenum","QB","HOU"
"Jimmy","Garoppolo","QB","LAR"
"AJ","McCarron","QB",
"Derek","Carr","QB","NO"
"Teddy","Bridgewater","QB","DET"
"Garrett","Gilbert","QB",
"Jameis","Winston","QB","CLE"
"Marcus","Mariota","QB","WAS"
"Sean","Mannion","QB",
"Brett","Hundley","QB",
"Trevor","Siemian","QB",
"Taylor","Heinicke","QB","LAC"
"Carson","Wentz","QB","KC"
"Jared","Goff","QB","DET"
"Jacoby","Brissett","QB","NE"
"Dak","Prescott","QB","DAL"
"Kevin","Hogan","QB",
"Nate","Sudfeld","QB",
"Brandon","Allen","QB","SF"
"Jeff","Driskel","QB","WAS"
"Mitchell","Trubisky","QB","BUF"
"Deshaun","Watson","QB","CLE"
"Patrick","Mahomes","QB","KC"
"Davis","Webb","QB",
"C.J.","Beathard","QB","JAX"
"Joshua","Dobbs","QB","SF"
"Nathan","Peterman","QB",
"PJ","Walker","QB",
"Taysom","Hill","QB","NO"
"Nick","Mullens","QB","MIN"
"Cooper","Rush","QB","DAL"
"Kyle","Sloter","QB",
"Josh","Rosen","QB",
"Lamar","Jackson","QB","BAL"
"Baker","Mayfield","QB","TB"
"Josh","Allen","QB","BUF"
"Sam","Darnold","QB","MIN"
"Mason","Rudolph","QB","TEN"
"Mike","White","QB","BUF"
"Danny","Etling","QB",
"Kyle","Allen","QB","PIT"
"Logan","Woodside","QB",
"Kurt","Benkert","QB",
"Tim","Boyle","QB","NYG"
"Luis","Perez","QB",
"John","Wolford","QB",
"Will","Grier","QB","DAL"
"Daniel","Jones","QB","MIN"
"Drew","Lock","QB","NYG"
"Trace","McSorley","QB",
"Gardner","Minshew II","QB","LV"
"Kyler","Murray","QB","ARI"
"Brett","Rypien","QB","MIN"
"Easton","Stick","QB","LAC"
"Jarrett","Stidham","QB","DEN"
"Jake","Browning","QB","CIN"
"David","Blough","QB",
"Jordan","Ta'amu","QB",
"Tua","Tagovailoa","QB","MIA"
"Justin","Herbert","QB","LAC"
"Joe","Burrow","QB","CIN"
"Steven","Montez","QB",
"Tyler","Huntley","QB","MIA"
"Jake","Luton","QB",
"Sam","Ehlinger","QB","IND"
"Kellen","Mond","QB",
"Shane","Buechele","QB","BUF"
"Bryce","Perkins","QB",
"Jacob","Eason","QB",
"Jake","Fromm","QB","DET"
"Jalen","Hurts","QB","PHI"
"Jordan","Love","QB","GB"
"Chris","Streveler","QB",
"James","Morgan","QB",
"Ben","DiNucci","QB","NO"
"Reid","Sinnett","QB",
"Case","Cookus","QB",
"Trevor","Lawrence","QB","JAX"
"Justin","Fields","QB","PIT"
"Trey","Lance","QB","DAL"
"Kyle","Trask","QB","TB"
"Zach","Wilson","QB","DEN"
"Mac","Jones","QB","JAX"
"Ian","Book","QB","PHI"
"K.J.","Costello","QB",
"Kenny","Pickett","QB","PHI"
"Desmond","Ridder","QB","LV"
"Dustin","Crum","QB",
"Davis","Mills","QB","HOU"
"Malik","Willis","QB","GB"
"Bryce","Young","QB","CAR"
"Carson","Strong","QB",
"Kedon","Slovis","QB","HOU"
"Matt","Corral","QB",
"Sam","Howell","QB","SEA"
"Spencer","Rattler","QB","NO"
"Dorian","Thompson-Robinson","QB","CLE"
"Jayden","Daniels","QB","WAS"
"Emory","Jones","QB","ATL"
"C.J.","Stroud","QB","HOU"
"Jack","Coan","QB",
"Brock","Purdy","QB","SF"
"Michael","Penix Jr.","QB","ATL"
"Jake","Haener","QB","NO"
"Bailey","Zappe","QB","CLE"
"Will","Levis","QB","TEN"
"D'Eriq","King","QB",
"E.J.","Perry","QB",
"Skylar","Thompson","QB",
"Chase","Garbers","QB",
"Chris","Oladokun","QB","KC"
"Anthony","Brown","QB",
"Brandon","Peters","QB",
"Davis","Cheek","QB",
"Jarrett","Guarantano","QB",
"Drew","Plitt","QB",
"Anthony","Richardson","QB","IND"
"Tanner","McKee","QB","PHI"
"Hendon","Hooker","QB","DET"
"Tyson","Bagent","QB","CHI"
"Clayton","Tune","QB","ARI"
"Jaren","Hall","QB","SEA"
"Max","Duggan","QB",
"Nathan","Rourke","QB",
"Aidan","O'Connell","QB","LV"
"Stetson","Bennett","QB","LAR"
"Sean","Clifford","QB","GB"
"Adrian","Martinez","QB","NYJ"
"Tanner","Morgan","QB",
"James","Blackman","QB",
"Nolan","Henderson","QB",
"Holton","Ahlers","QB",
"Tommy","DeVito","QB","NYG"
"N'Kosi","Perry","QB",
"Tim","DeMorat","QB",
"Dresser","Winn","QB",
"Austin","Aune","QB",
"Caleb","Williams","QB","CHI"
"J.J.","McCarthy","QB","MIN"
"Drake","Maye","QB","NE"
"Michael","Pratt","QB","TB"
"Riley","Leonard","QB",
"Carson","Beck","QB",
"Joe","Milton III","QB","NE"
"Jason","Bean","QB","IND"
"Carter","Bradley","QB","LV"
"Bo","Nix","QB","DEN"
"Sam","Hartman","QB","WAS"
"Devin","Leary","QB","BAL"
"Austin","Reed","QB","CHI"
"Jordan","Travis","QB","NYJ"
"Taulia","Tagovailoa","QB",
"Jack","Plummer","QB","CAR"
"Tanner","Mordecai","QB","SF"
"Zack","Annexstad","QB",
"Gavin","Hardison","QB",
"Chevan","Cordeiro","QB",
"Rocky","Lombardi","QB",
"Casey","Bauman","QB",
"John","Paddock","QB",
"Peewee","Jarrett","QB",
"Andrew","Peasley","QB",
"Colby","Suits","QB",
"Jacob","Sirmon","QB",
"Ben","Bryant","QB",
